League,Team,TriggerScore,TriggerRole,SampleSize,NextWin_Pct,NextLoss_Pct,NextDraw_Pct,NextOver15_Pct,NextOver25_Pct,NextGG_Pct,NextHomeScore_Pct,NextAwayScore_Pct,Hits_NextWin,Hits_NextLoss,Hits_NextDraw,Hits_NextOver15,Hits_NextOver25,Hits_NextGG,Hits_NextHomeScore,Hits_NextAwayScore
Italy - Virtual,LAZ,0:1,Away,24,54,25,21,54,38,42,58,75,13,6,5,13,9,10,14,18
Italy - Virtual,TOR,0:1,Home,24,25,38,38,63,25,33,58,63,6,9,9,15,6,8,14,15
Germany - Virtual,SCF,0:1,Home,24,33,54,13,71,54,54,63,88,8,13,3,17,13,13,15,21
Germany - Virtual,KOE,1:1,Home,24,29,38,33,83,46,63,79,75,7,9,8,20,11,15,19,18
France - Virtual,LEH,1:1,Away,24,25,38,38,79,50,63,67,83,6,9,9,19,12,15,16,20
England - Virtual,BHA,0:1,Home,23,43,35,22,61,35,39,65,70,10,8,5,14,8,9,15,16
England - Virtual,LEE,1:0,Home,23,30,39,30,74,43,39,61,65,7,9,7,17,10,9,14,15
England - Virtual,SUN,1:1,Away,23,22,39,39,78,48,65,87,78,5,9,9,18,11,15,20,18
England - Virtual,TOT,2:1,Home,23,48,26,26,61,43,43,78,52,11,6,6,14,10,10,18,12
Spain - Virtual,OSA,0:1,Home,23,30,39,30,48,35,35,52,61,7,9,7,11,8,8,12,14
Spain - Virtual,OSA,0:1,Away,23,22,26,52,78,39,65,74,78,5,6,12,18,9,15,17,18
Spain - Virtual,BIL,1:1,Home,23,39,17,43,83,39,61,74,78,9,4,10,19,9,14,17,18
Spain - Virtual,ESP,1:1,Home,23,30,39,30,65,48,52,65,70,7,9,7,15,11,12,15,16
Spain - Virtual,ATM,1:1,Home,23,30,43,26,65,48,48,57,74,7,10,6,15,11,11,13,17
Spain - Virtual,ALA,1:0,Away,23,35,48,17,78,57,57,78,65,8,11,4,18,13,13,18,15
Spain - Virtual,CEL,1:0,Home,23,35,30,35,70,43,57,83,65,8,7,8,16,10,13,19,15
Spain - Virtual,RBB,1:0,Home,23,35,30,35,83,57,61,70,78,8,7,8,19,13,14,16,18
Spain - Virtual,ATM,1:0,Home,23,39,30,30,70,48,61,83,74,9,7,7,16,11,14,19,17
Spain - Virtual,ALA,0:0,Away,23,35,39,26,65,39,35,65,57,8,9,6,15,9,8,15,13
Spain - Virtual,SEV,0:0,Away,23,39,35,26,74,57,57,78,70,9,8,6,17,13,13,18,16
Spain - Virtual,VCF,0:0,Away,23,43,35,22,70,43,43,70,61,10,8,5,16,10,10,16,14
Spain - Virtual,OVI,0:0,Home,23,26,70,4,61,39,39,61,78,6,16,1,14,9,9,14,18
Spain - Virtual,VCF,0:0,Home,23,26,30,43,91,35,57,65,87,6,7,10,21,8,13,15,20
Spain - Virtual,RMA,2:0,Home,23,30,39,30,74,52,61,74,74,7,9,7,17,12,14,17,17
Italy - Virtual,SAS,1:0,Home,23,26,52,22,74,39,52,65,87,6,12,5,17,9,12,15,20
Italy - Virtual,VER,1:0,Home,23,65,30,4,57,43,39,78,57,15,7,1,13,10,9,18,13
Italy - Virtual,USC,1:0,Home,23,39,22,39,57,35,39,70,52,9,5,9,13,8,9,16,12
Italy - Virtual,ATA,1:1,Home,23,57,26,17,78,48,52,74,70,13,6,4,18,11,12,17,16
Italy - Virtual,COM,1:1,Home,23,35,48,17,65,48,48,65,78,8,11,4,15,11,11,15,18
Italy - Virtual,LEC,1:1,Home,23,17,52,30,61,22,30,52,61,4,12,7,14,5,7,12,14
Italy - Virtual,PIS,1:1,Home,23,57,17,26,57,30,39,74,52,13,4,6,13,7,9,17,12
Italy - Virtual,ATA,0:1,Away,23,30,13,57,70,48,61,61,78,7,3,13,16,11,14,14,18
Germany - Virtual,VFB,2:1,Home,23,48,30,22,78,48,57,74,78,11,7,5,18,11,13,17,18
Germany - Virtual,TSG,0:1,Home,23,9,57,35,78,48,61,78,78,2,13,8,18,11,14,18,18
Germany - Virtual,HDH,1:1,Home,23,22,52,26,83,48,57,78,74,5,12,6,19,11,13,18,17
Germany - Virtual,MAI,1:1,Away,23,39,35,26,65,39,35,70,57,9,8,6,15,9,8,16,13
Germany - Virtual,UNI,1:1,Away,23,22,52,26,65,48,48,70,65,5,12,6,15,11,11,16,15
Germany - Virtual,WOB,1:1,Away,23,30,30,39,74,35,57,78,74,7,7,9,17,8,13,18,17
France - Virtual,STR,1:0,Away,23,35,48,17,78,57,52,70,78,8,11,4,18,13,12,16,18
France - Virtual,LOR,1:0,Home,23,39,39,22,65,48,52,78,70,9,9,5,15,11,12,18,16
France - Virtual,MET,1:1,Home,23,52,35,13,74,39,43,78,61,12,8,3,17,9,10,18,14
England - Virtual,LIV,1:2,Home,22,32,41,27,86,59,68,77,91,7,9,6,19,13,15,17,20
England - Virtual,FUL,1:2,Away,22,36,55,9,82,64,50,82,64,8,12,2,18,14,11,18,14
England - Virtual,AST,1:2,Away,22,41,41,18,77,55,50,73,68,9,9,4,17,12,11,16,15
England - Virtual,BRE,0:1,Away,22,23,45,32,86,55,59,82,77,5,10,7,19,12,13,18,17
England - Virtual,BHA,1:0,Away,22,23,45,32,64,36,50,68,68,5,10,7,14,8,11,15,15
England - Virtual,AST,1:1,Away,22,27,55,18,77,64,50,73,73,6,12,4,17,14,11,16,16
England - Virtual,EVE,2:1,Away,22,27,59,14,77,59,55,77,77,6,13,3,17,13,12,17,17
Spain - Virtual,RBB,0:1,Away,22,50,18,32,59,41,45,64,64,11,4,7,13,9,10,14,14
Spain - Virtual,RSO,1:0,Away,22,27,45,27,73,59,55,73,64,6,10,6,16,13,12,16,14
Spain - Virtual,RSO,1:0,Home,22,32,27,41,55,32,36,59,55,7,6,9,12,7,8,13,12
Spain - Virtual,VIL,1:0,Home,22,55,18,27,73,55,59,77,73,12,4,6,16,12,13,17,16
Spain - Virtual,BIL,0:0,Away,22,45,32,23,64,41,41,64,73,10,7,5,14,9,9,14,16
Spain - Virtual,GIR,0:0,Away,22,32,14,55,59,27,50,64,59,7,3,12,13,6,11,14,13
Spain - Virtual,FCB,0:0,Home,22,55,23,23,77,50,59,82,77,12,5,5,17,11,13,18,17
Spain - Virtual,MAL,0:0,Home,22,36,27,36,68,32,50,77,55,8,6,8,15,7,11,17,12
Spain - Virtual,FCB,0:2,Away,22,36,32,32,73,36,55,77,73,8,7,7,16,8,12,17,16
Italy - Virtual,COM,0:0,Away,22,45,27,27,64,41,50,68,68,10,6,6,14,9,11,15,15
Italy - Virtual,LAZ,0:0,Home,22,45,27,27,77,73,68,77,77,10,6,6,17,16,15,17,17
Italy - Virtual,LAZ,1:0,Home,22,50,27,23,64,27,36,73,55,11,6,5,14,6,8,16,12
Italy - Virtual,FIO,1:0,Away,22,9,50,41,77,32,50,68,68,2,11,9,17,7,11,15,15
Italy - Virtual,LAZ,1:0,Away,22,23,45,32,68,36,59,86,68,5,10,7,15,8,13,19,15
Italy - Virtual,INT,2:0,Home,22,41,32,27,77,45,41,59,73,9,7,6,17,10,9,13,16
Italy - Virtual,FIO,1:1,Home,22,23,45,32,86,59,77,86,91,5,10,7,19,13,17,19,20
Italy - Virtual,ROM,1:1,Away,22,50,18,32,73,50,55,59,86,11,4,7,16,11,12,13,19
Italy - Virtual,INT,0:2,Away,22,59,23,18,68,36,41,68,68,13,5,4,15,8,9,15,15
Italy - Virtual,PIS,2:1,Home,22,32,23,45,82,50,59,82,68,7,5,10,18,11,13,18,15
Italy - Virtual,CAG,2:1,Away,22,27,45,27,73,55,50,73,68,6,10,6,16,12,11,16,15
Italy - Virtual,INT,2:1,Away,22,41,32,27,73,50,45,77,59,9,7,6,16,11,10,17,13
Italy - Virtual,USC,0:1,Away,22,32,41,27,55,27,36,64,59,7,9,6,12,6,8,14,13
Italy - Virtual,UDI,0:1,Home,22,36,36,27,55,32,36,68,55,8,8,6,12,7,8,15,12
Italy - Virtual,ACM,0:1,Home,22,45,41,14,73,50,50,77,68,10,9,3,16,11,11,17,15
Germany - Virtual,WOB,1:1,Home,22,36,55,9,77,68,64,77,86,8,12,2,17,15,14,17,19
Germany - Virtual,LEV,1:1,Away,22,41,23,36,64,36,45,73,59,9,5,8,14,8,10,16,13
Germany - Virtual,MAI,1:0,Away,22,32,32,36,55,32,41,64,59,7,7,8,12,7,9,14,13
France - Virtual,NAN,1:0,Away,22,32,36,32,77,41,64,68,91,7,8,7,17,9,14,15,20
France - Virtual,PFC,1:0,Home,22,50,27,23,77,59,68,82,82,11,6,5,17,13,15,18,18
France - Virtual,LEH,1:1,Home,22,45,23,32,68,45,55,68,68,10,5,7,15,10,12,15,15
France - Virtual,B29,1:1,Home,22,55,18,27,73,45,50,82,59,12,4,6,16,10,11,18,13
France - Virtual,TOU,1:1,Home,22,23,68,9,73,59,50,77,68,5,15,2,16,13,11,17,15
England - Virtual,BRE,1:2,Home,21,62,33,5,57,24,24,62,62,13,7,1,12,5,5,13,13
England - Virtual,CRY,1:2,Away,21,43,43,14,76,57,62,76,76,9,9,3,16,12,13,16,16
England - Virtual,WOL,0:1,Away,21,24,52,24,95,62,76,81,95,5,11,5,20,13,16,17,20
England - Virtual,BRE,1:1,Away,21,29,38,33,76,48,48,86,57,6,8,7,16,10,10,18,12
England - Virtual,WHU,1:1,Away,21,38,29,33,67,57,52,67,76,8,6,7,14,12,11,14,16
England - Virtual,TOT,1:1,Away,21,24,52,24,86,71,62,86,71,5,11,5,18,15,13,18,15
England - Virtual,BUR,1:1,Home,21,48,43,10,52,38,29,62,57,10,9,2,11,8,6,13,12
England - Virtual,CRY,1:1,Home,21,52,29,19,81,52,57,86,67,11,6,4,17,11,12,18,14
England - Virtual,NEW,1:1,Home,21,48,33,19,86,48,62,90,71,10,7,4,18,10,13,19,15
England - Virtual,WOL,1:1,Home,21,43,48,10,90,67,62,81,81,9,10,2,19,14,13,17,17
England - Virtual,BUR,2:1,Away,21,33,43,24,67,57,52,76,67,7,9,5,14,12,11,16,14
England - Virtual,BOU,2:1,Home,21,43,33,24,90,57,62,76,76,9,7,5,19,12,13,16,16
England - Virtual,SUN,0:0,Home,21,33,52,14,86,62,62,76,86,7,11,3,18,13,13,16,18
Spain - Virtual,ATM,2:1,Home,21,33,24,43,62,38,43,76,48,7,5,9,13,8,9,16,10
Spain - Virtual,ALA,0:1,Home,21,33,24,43,81,29,57,81,71,7,5,9,17,6,12,17,15
Spain - Virtual,ELC,0:1,Home,21,38,38,24,67,33,43,71,67,8,8,5,14,7,9,15,14
Spain - Virtual,CEL,0:1,Away,21,33,43,24,48,29,29,52,57,7,9,5,10,6,6,11,12
Spain - Virtual,BIL,1:1,Away,21,29,33,38,48,43,48,62,71,6,7,8,10,9,10,13,15
Spain - Virtual,LEV,1:1,Away,21,33,43,24,62,43,43,76,52,7,9,5,13,9,9,16,11
Spain - Virtual,RMA,1:1,Away,21,29,38,33,76,43,57,76,71,6,8,7,16,9,12,16,15
Spain - Virtual,VCF,1:1,Away,21,14,48,38,62,33,48,67,76,3,10,8,13,7,10,14,16
Spain - Virtual,MAL,1:1,Away,21,38,24,38,57,38,48,62,67,8,5,8,12,8,10,13,14
Spain - Virtual,RMA,1:1,Home,21,57,19,24,62,33,33,76,48,12,4,5,13,7,7,16,10
Spain - Virtual,SEV,1:1,Home,21,38,33,29,71,33,48,81,57,8,7,6,15,7,10,17,12
Spain - Virtual,VIL,1:1,Home,21,38,29,33,67,38,52,71,71,8,6,7,14,8,11,15,15
Spain - Virtual,GIR,1:1,Home,21,29,52,19,76,52,62,71,86,6,11,4,16,11,13,15,18
Spain - Virtual,GET,1:0,Away,21,24,29,48,62,33,57,81,62,5,6,10,13,7,12,17,13
Spain - Virtual,SEV,1:0,Away,21,48,29,24,62,29,33,57,62,10,6,5,13,6,7,12,13
Spain - Virtual,VCF,1:0,Away,21,33,43,24,48,19,19,57,43,7,9,5,10,4,4,12,9
Spain - Virtual,ALA,1:0,Home,21,38,33,29,67,48,57,76,71,8,7,6,14,10,12,16,15
Spain - Virtual,OVI,1:0,Home,21,24,48,29,62,38,48,71,67,5,10,6,13,8,10,15,14
Italy - Virtual,PIS,0:0,Home,21,43,38,19,81,57,71,81,90,9,8,4,17,12,15,17,19
Italy - Virtual,CAG,1:0,Away,21,24,52,24,76,33,48,86,57,5,11,5,16,7,10,18,12
Italy - Virtual,SAS,1:0,Away,21,24,38,38,86,67,81,90,86,5,8,8,18,14,17,19,18
Italy - Virtual,PIS,1:0,Away,21,29,43,29,76,52,57,81,71,6,9,6,16,11,12,17,15
Italy - Virtual,USC,1:0,Away,21,43,29,29,43,33,29,52,57,9,6,6,9,7,6,11,12
Italy - Virtual,BFC,1:1,Home,21,48,33,19,67,48,43,71,67,10,7,4,14,10,9,15,14
Italy - Virtual,ATA,1:1,Away,21,33,43,24,67,43,48,71,62,7,9,5,14,9,10,15,13
Italy - Virtual,BFC,1:1,Away,21,24,33,43,57,24,33,57,52,5,7,9,12,5,7,12,11
Italy - Virtual,COM,1:1,Away,21,38,38,24,76,52,43,71,62,8,8,5,16,11,9,15,13
Italy - Virtual,INT,1:1,Away,21,43,48,10,86,71,71,86,86,9,10,2,18,15,15,18,18
Italy - Virtual,LAZ,1:1,Away,21,57,24,19,81,57,62,67,90,12,5,4,17,12,13,14,19
Italy - Virtual,LEC,0:2,Home,21,43,33,24,67,38,38,71,52,9,7,5,14,8,8,15,11
Italy - Virtual,GEN,2:1,Home,21,43,33,24,81,48,52,81,67,9,7,5,17,10,11,17,14
Italy - Virtual,LEC,0:1,Away,21,52,33,14,62,33,33,48,86,11,7,3,13,7,7,10,18
Italy - Virtual,NAP,0:1,Home,21,48,38,14,67,52,57,76,81,10,8,3,14,11,12,16,17
Italy - Virtual,PIS,0:1,Home,21,29,38,33,81,48,52,71,71,6,8,7,17,10,11,15,15
Italy - Virtual,JUV,0:1,Home,21,38,24,38,67,33,52,76,71,8,5,8,14,7,11,16,15
Germany - Virtual,LEV,2:0,Home,21,48,24,29,81,52,62,81,76,10,5,6,17,11,13,17,16
Germany - Virtual,HSV,2:1,Away,21,43,24,33,57,29,38,67,62,9,5,7,12,6,8,14,13
Germany - Virtual,TSG,2:1,Away,21,29,43,29,76,62,71,76,81,6,9,6,16,13,15,16,17
Germany - Virtual,SCF,0:1,Away,21,43,33,24,62,43,43,67,71,9,7,5,13,9,9,14,15
Germany - Virtual,BMU,1:1,Home,21,33,29,38,76,38,52,81,62,7,6,8,16,8,11,17,13
Germany - Virtual,RBL,1:1,Away,21,24,52,24,81,62,52,86,67,5,11,5,17,13,11,18,14
Germany - Virtual,BMU,1:0,Home,21,71,19,10,71,52,48,90,57,15,4,2,15,11,10,19,12
Germany - Virtual,WOB,1:0,Home,21,24,43,33,86,62,71,86,86,5,9,7,18,13,15,18,18
France - Virtual,B29,0:1,Home,21,33,33,33,71,48,57,71,71,7,7,7,15,10,12,15,15
France - Virtual,TOU,1:0,Away,21,33,33,33,67,33,48,62,71,7,7,7,14,7,10,13,15
France - Virtual,STR,1:2,Home,21,33,43,24,81,48,57,71,86,7,9,5,17,10,12,15,18
France - Virtual,REN,1:1,Away,21,48,29,24,62,48,48,52,81,10,6,5,13,10,10,11,17
France - Virtual,ANG,1:1,Home,21,10,57,33,57,19,33,38,81,2,12,7,12,4,7,8,17
England - Virtual,WHU,1:2,Home,20,35,45,20,80,55,55,70,80,7,9,4,16,11,11,14,16
England - Virtual,FOR,1:2,Home,20,45,35,20,80,60,65,85,70,9,7,4,16,12,13,17,14
England - Virtual,CHE,1:2,Away,20,50,35,15,55,35,35,75,50,10,7,3,11,7,7,15,10
England - Virtual,LEE,1:2,Away,20,45,45,10,95,65,65,95,70,9,9,2,19,13,13,19,14
England - Virtual,CRY,1:0,Home,20,55,25,20,75,50,50,80,65,11,5,4,15,10,10,16,13
England - Virtual,CHE,1:0,Home,20,45,35,20,70,45,50,90,60,9,7,4,14,9,10,18,12
England - Virtual,LIV,1:1,Away,20,50,30,20,95,60,60,85,75,10,6,4,19,12,12,17,15
England - Virtual,LEE,1:1,Away,20,20,40,40,80,65,65,95,70,4,8,8,16,13,13,19,14
England - Virtual,MCI,1:1,Away,20,60,10,30,65,25,30,40,80,12,2,6,13,5,6,8,16
England - Virtual,WOL,1:1,Away,20,35,50,15,80,70,40,70,60,7,10,3,16,14,8,14,12
England - Virtual,MUN,1:1,Home,20,50,25,25,75,70,45,65,60,10,5,5,15,14,9,13,12
England - Virtual,TOT,2:1,Away,20,30,60,10,80,80,80,90,90,6,12,2,16,16,16,18,18
